Fichier,Chanteur,Chanson
Dalida - Pour ne pas vivre seul.mp4,Dalida,Pour ne pas vivre seul
Nicolas Peyrac - Le vin me saoule.mp4,Nicolas Peyrac,Le vin me saoule
Georges Brassens - La mauvaise réputation.mp4,Georges Brassens,La mauvaise réputation
Pierre Bachelet - Tu es là au rendez-vous.mp4,Pierre Bachelet,Tu es là au rendez-vous
Yuri Buenaventura - Une belle histoire.mp4,Yuri Buenaventura,Une belle histoire
Sylvie Vartan - Petit raimbow.mp4,Sylvie Vartan,Petit raimbow
Stevie Wonder - I just called to say I love you.mp4,Stevie Wonder,I just called to say I love you
Calogero - Pomme C.mp4,Calogero,Pomme C
Johnny Hallyday - Le pénitencier.mp4,Johnny Hallyday,Le pénitencier
Florent Pagny - Vieillir avec toi.mp4,Florent Pagny,Vieillir avec toi
Buddy Holly - That'll Be The Day.mp4,Buddy Holly,That'll Be The Day
Scottish - Loch lomond (By yon bonnie banks).mp4,Scottish,Loch lomond (By yon bonnie banks)
Hervé Vilard - Nous.mp4,Hervé Vilard,Nous
Roch Voisine - La légende de Oochigeas.mp4,Roch Voisine,La légende de Oochigeas
Sheila - Tout le monde aime danser.mp4,Sheila,Tout le monde aime danser
Salvatore Adamo - Ton nom.mp4,Salvatore Adamo,Ton nom
Françoise Hardy - Comment te dire adieu.mp4,Françoise Hardy,Comment te dire adieu
"Je te le donne, Vitaa Slimane.mp4","Je te le donne, Vitaa Slimane.mp4",
Richard Anthony - Leçon de twist.mp4,Richard Anthony,Leçon de twist
Michel Sardou - Io Domenico.mp4,Michel Sardou,Io Domenico
Dick Rivers - Nice baie des Anges.mp4,Dick Rivers,Nice baie des Anges
Bee Gees - Jive talkin'.mp4,Bee Gees,Jive talkin'
Michel Sardou - Attention les enfants danger.mp4,Michel Sardou,Attention les enfants danger
Janis Joplin - Mercedes Benz.mp4,Janis Joplin,Mercedes Benz
Sonny James - Young love.mp4,Sonny James,Young love
Dodie Stevens - Pink Shoe Laces.mp4,Dodie Stevens,Pink Shoe Laces
Tammy Wynette - You'll never walk alone.mp4,Tammy Wynette,You'll never walk alone
Perry Como - Have yourself a merry little christmas.mp4,Perry Como,Have yourself a merry little christmas
Lara Fabian - L'hymne à l'amour (duo).mp4,Lara Fabian,L'hymne à l'amour (duo)
Brenda Lee - I'm Sorry.mp4,Brenda Lee,I'm Sorry
Gilbert Bécaud - Je t'appartiens.mp4,Gilbert Bécaud,Je t'appartiens
C. Jérôme - Cindy.mp4,C. Jérôme,Cindy
Yves Montand - Au cabaret de la dernière chance.mp4,Yves Montand,Au cabaret de la dernière chance
Julio Iglesias - Pauvres diables (Vous les femmes).mp4,Julio Iglesias,Pauvres diables (Vous les femmes)
Slimane - Le vide.mp4,Slimane,Le vide
Michel Sardou - Espèrer.mp4,Michel Sardou,Espèrer
Marc Aryan - Volage volage.mp4,Marc Aryan,Volage volage
Pascal Danel - Kilimandjaro.mp4,Pascal Danel,Kilimandjaro
Diana Krall  - Fly me to the moon  wvocals.mp4,Diana Krall ,Fly me to the moon  wvocals
Pierre Rapsat - Ensemble.mp4,Pierre Rapsat,Ensemble
KARAOKE - Angèle - Balance ton quoi.mp4,Angèle,Balance ton quoi
Frank Michael - Dites-lui que je l'aime.mp4,Frank Michael,Dites-lui que je l'aime
"Frank Sinatra - New York, New York wvocals.mp4",Frank Sinatra,"New York, New York wvocals"
Stephan Eicher - Rivière.mp4,Stephan Eicher,Rivière
Jerry Vale - You belong to my heart.mp4,Jerry Vale,You belong to my heart
Indochine - 3 nuits par semaine.mp4,Indochine,3 nuits par semaine
Michel Fugain - La fête.mp4,Michel Fugain,La fête
Marie Osmond - (with Dan Seals) Meet Me In Montana.mp4,Marie Osmond,(with Dan Seals) Meet Me In Montana
Edith Piaf - Je t'ai dans la peau.mp4,Edith Piaf,Je t'ai dans la peau
Tony Bennett - Rags To Riches.mp4,Tony Bennett,Rags To Riches
Jean-Louis Aubert - Argent trop cher.mp4,Jean-Louis Aubert,Argent trop cher
Englebert Humperdink - What I Did For Love.mp4,Englebert Humperdink,What I Did For Love
Florent Pagny - Tue moi.mp4,Florent Pagny,Tue moi
Perry Como - For me and my gal.mp4,Perry Como,For me and my gal
Edith Piaf - Les amants d'un jour.mp4,Edith Piaf,Les amants d'un jour
Renan Luce - Repenti.mp4,Renan Luce,Repenti
Richard Cocciante - Questions de feelings (avec Fabienne Thibeault).mp4,Richard Cocciante,Questions de feelings (avec Fabienne Thibeault)
Serge Reggiani - Votre fille a 20 ans.mp4,Serge Reggiani,Votre fille a 20 ans
AVCD003-15 - VCD - Credits.mkv,VCD,Credits
Julien Clerc - La jupe en laine.mp4,Julien Clerc,La jupe en laine
Images - Les démons de minuit.mp4,Images,Les démons de minuit
Sylvie Vartan - Le locomotion.mp4,Sylvie Vartan,Le locomotion
Sarah (Princesse Sarah) - Désolée.mp4,Sarah (Princesse Sarah),Désolée
"Sergio Mendes & Brazil '66 - Look Of Love, The.mp4",Sergio Mendes & Brazil '66,"Look Of Love, The"
Bing Crosby - You must have been a beautiful baby wvocals.mp4,Bing Crosby,You must have been a beautiful baby wvocals
Paul Young - Everytime You Go Away.mp4,Paul Young,Everytime You Go Away
Angelo Branduardi - La demoiselle.mp4,Angelo Branduardi,La demoiselle
Frédéric François - Les anges de nos campagnes.mp4,Frédéric François,Les anges de nos campagnes
Madonna - Material girl.mp4,Madonna,Material girl
Doris Day - If I Give My Heart To You.mp4,Doris Day,If I Give My Heart To You
Chimène Badi - Padam padam.mp4,Chimène Badi,Padam padam
Showtunes - (Brigadoon) Gene Kelly - Almost like being in love wvocals.mp4,(Brigadoon) Gene Kelly,Almost like being in love wvocals
Renaud - Les bobos.mp4,Renaud,Les bobos
Christophe - Aline.mp4,Christophe,Aline
Steely Dan - Do it again.mp4,Steely Dan,Do it again
Jay & the Americans  - Cara mia.mp4,Jay & the Americans ,Cara mia
Mary Hopkin - Those Were The Days.mp4,Mary Hopkin,Those Were The Days
Rosemary Clooney - Mambo Italiano wfemale vocals.mp4,Rosemary Clooney,Mambo Italiano wfemale vocals
MPV16-01 - Mary J Blige - Family Affair.mp4,Mary J Blige,Family Affair
Tino Rossi - Le temps des guitares.mp4,Tino Rossi,Le temps des guitares
Au Bonheur Des Dames - Oh ! Les filles.mp4,Au Bonheur Des Dames,Oh ! Les filles
Rod Stewart - Do you think I'm sexy.mp4,Rod Stewart,Do you think I'm sexy
The Eagles - Lyin' eyes.mp4,The Eagles,Lyin' eyes
Kaolin - Partons vite.mp4,Kaolin,Partons vite
Zazie - Je suis un homme.mp4,Zazie,Je suis un homme
Bébé Lilly - Les bêtises.mp4,Bébé Lilly,Les bêtises
Irish - Did your mother come from Ireland (PS).mp4,Irish,Did your mother come from Ireland (PS)
Connie Francis - Don't break the heart that loves you.mp4,Connie Francis,Don't break the heart that loves you
Vincent Niclo - Je ne suis qu'un homme.mp4,Vincent Niclo,Je ne suis qu'un homme
Laurent Voulzy - Coeur grenadine.mp4,Laurent Voulzy,Coeur grenadine
Mireille Mathieu - Santa Maria de la mer.mp4,Mireille Mathieu,Santa Maria de la mer
Jean-Jacques Goldman   - Comme toi.mp4,Jean-Jacques Goldman  ,Comme toi
Serge Lama - Votre fille a 20 ans.mp4,Serge Lama,Votre fille a 20 ans
The Penguins - Earth angel wvocals.mp4,The Penguins,Earth angel wvocals
Serge Reggiani - Les loups.mp4,Serge Reggiani,Les loups
Pierre Bachelet - Emmanuelle.mp4,Pierre Bachelet,Emmanuelle
Charles Trenet - Route Nationale 7.mp4,Charles Trenet,Route Nationale 7
Frank Sinatra - Love and marriage.mp4,Frank Sinatra,Love and marriage
Laurent Voulzy - Quand vient la fin de l'été.mp4,Laurent Voulzy,Quand vient la fin de l'été
Michel Sardou - J'aurais voulu t'aimer.mp4,Michel Sardou,J'aurais voulu t'aimer
Jacques Dutronc - Les playboys.mp4,Jacques Dutronc,Les playboys
Louis Chédid - T'as beau pas être beau.mp4,Louis Chédid,T'as beau pas être beau
Frank Sinatra - Nice work if you can get it.mp4,Frank Sinatra,Nice work if you can get it
Jean-Jacques Goldman   - Peur de rien blues.mp4,Jean-Jacques Goldman  ,Peur de rien blues
Starmania - La chanson de Ziggy (choeurs) [BDFab].avi,Starmania,La chanson de Ziggy (choeurs) [BDFab]
Perry Como - Till the end of time.mp4,Perry Como,Till the end of time
Buster Poindexter - Hot Hot Hot.mp4,Buster Poindexter,Hot Hot Hot
Georges Moustaki - Le métèque.mp4,Georges Moustaki,Le métèque
Mickey Gilley - Don't the girls all get prettier at closing time.mp4,Mickey Gilley,Don't the girls all get prettier at closing time
Yannick - Ces soirées-là.mp4,Yannick,Ces soirées-là
Julien Doré - Coco caline.mp4,Julien Doré,Coco caline
Lipps - Funky Town.mp4,Lipps,Funky Town
Mireille Mathieu - La dernière valse.mp4,Mireille Mathieu,La dernière valse
Faron Young - It's four in the morning.mp4,Faron Young,It's four in the morning
Michel Sardou - Les yeux de mon père.mp4,Michel Sardou,Les yeux de mon père
Charles Aznavour - Mourir d'aimer.mp4,Charles Aznavour,Mourir d'aimer
Grease - 04 Greased Lightning.mp4,Grease,04 Greased Lightning
Rock N Roll Is Here To Stay.mp4,Rock N Roll Is Here To Stay.mp4,
Françoise Hardy - Tamalou.mp4,Françoise Hardy,Tamalou
Serge Reggiani - Le petit garçon.mp4,Serge Reggiani,Le petit garçon
Fats Domino - Blueberry Hill.mp4,Fats Domino,Blueberry Hill
Plastic Bertrand - Sentimentale-moi.mp4,Plastic Bertrand,Sentimentale-moi
Frédéric François - Une rose dans le désert.mp4,Frédéric François,Une rose dans le désert
Pierre Bachelet - Elle est d'ailleurs.mp4,Pierre Bachelet,Elle est d'ailleurs
Stone & Charden - Made in Normandie.mp4,Stone & Charden,Made in Normandie
Dean Martin - Cha cha cha d'amour.mp4,Dean Martin,Cha cha cha d'amour
PMV04-07 - Jennifer Paige - Crush.mp4,Jennifer Paige,Crush
Showtunes - Cabaret.mp4,Showtunes,Cabaret
Gérard Lenorman - Quelque chose et moi.mp4,Gérard Lenorman,Quelque chose et moi
Sylvie Vartan - Comme un garçon.mp4,Sylvie Vartan,Comme un garçon
Roy Orbison - Pretty Paper.mp4,Roy Orbison,Pretty Paper
Irish - A little bit of heaven.mp4,Irish,A little bit of heaven
France Gall - Sacré Charlemagne.mp4,France Gall,Sacré Charlemagne
Irish - Molly Malone.mp4,Irish,Molly Malone
Showtunes - (Oklahoma) - People will say we're in love wvocal.mp4,(Oklahoma),People will say we're in love wvocal
Johhny Mathis and Denise Williams - Too much too little too late.mp4,Johhny Mathis and Denise Williams,Too much too little too late
Ruby and the Romantics - Our day will come.mp4,Ruby and the Romantics,Our day will come
Gene Chandler - Duke of Earl.mp4,Gene Chandler,Duke of Earl
Frank Sinatra - Mack the knife.mp4,Frank Sinatra,Mack the knife
Johnny Hallyday - Ya Ya Twist.mp4,Johnny Hallyday,Ya Ya Twist
Hall & Oates - Sara smile wvocals.mp4,Hall & Oates,Sara smile wvocals
The New Seekers - I'd Like To Teach The World To Sing.mp4,The New Seekers,I'd Like To Teach The World To Sing
CAROLIINA - Mafiosa .mp4,CAROLIINA,Mafiosa 
Serge Reggiani - L'hôtel du rendez moi ça.mp4,Serge Reggiani,L'hôtel du rendez moi ça
Nana Mouskouri - Guantanamera.mp4,Nana Mouskouri,Guantanamera
Frank Sinatra - (with Julio Iglesias) Summer wind duet wvocal.mp4,Frank Sinatra,(with Julio Iglesias) Summer wind duet wvocal
Patrick Sébastien - Alain (d'après Aline).mp4,Patrick Sébastien,Alain (d'après Aline)
Elvis Presley - His Latest Flame.mp4,Elvis Presley,His Latest Flame
Jerry  Mungo - In The Summertime.mp4,Jerry  Mungo,In The Summertime
Irish - Harrigan.mp4,Irish,Harrigan
Showtunes - Victor Victoria - Le Jazz Hot.mp4,Victor Victoria,Le Jazz Hot
Jimmy Soul - If you wanna be happy.mp4,Jimmy Soul,If you wanna be happy
Bee Gees - Love you inside out.mp4,Bee Gees,Love you inside out
Les Serpents Noirs - Mon seul amour.mp4,Les Serpents Noirs,Mon seul amour
Gilbert Montagné - Comme une étoile.mp4,Gilbert Montagné,Comme une étoile
Christopher Cross - Sailing.mp4,Christopher Cross,Sailing
Les Musclés - La fête au village.mp4,Les Musclés,La fête au village
Fleetwood Mac - Dont stop wvocals.mp4,Fleetwood Mac,Dont stop wvocals
Gilbert Bécaud - Désirée.mp4,Gilbert Bécaud,Désirée
Roch Voisine - Avant de partir.mp4,Roch Voisine,Avant de partir
Englebert Humperdink -There goes my everything.mp4,Englebert Humperdink -There goes my everything.mp4,
Chuck Berry - Roll Over Beethoven.mp4,Chuck Berry,Roll Over Beethoven
Michael Jackson - Beat it.mp4,Michael Jackson,Beat it
MPV16-05 - Staind - It's Been a While.mp4,Staind,It's Been a While
Bee Gees - You should be dancing wvocals.mp4,Bee Gees,You should be dancing wvocals
Amandine Bourgeois - Savoir aimer.mp4,Amandine Bourgeois,Savoir aimer
Jack Teagarden - Stars Fell On Alabama.mp4,Jack Teagarden,Stars Fell On Alabama
Alain Chamfort - Bambou.mp4,Alain Chamfort,Bambou
Yves Duteil - Le petit pont de bois.mp4,Yves Duteil,Le petit pont de bois
Billy Ocean - Caribbean Queen No More Love.mp4,Billy Ocean,Caribbean Queen No More Love
Michel Sardou - Le surveillant général.mp4,Michel Sardou,Le surveillant général
OFKCAR001-09 - Carpenters - Hurting Each Other w~mpex.mkv,Carpenters,Hurting Each Other w~mpex
Chimène Badi - Entre nous.mp4,Chimène Badi,Entre nous
Dolly Parton - (with Kenny Rogers) Islands in the stream duet.mp4,Dolly Parton,(with Kenny Rogers) Islands in the stream duet
Benjamin Biolay - Ton héritage.mp4,Benjamin Biolay,Ton héritage
MANAU - LA TRIBU DE DANA - Karaoke Voice Over!.mp4,LA TRIBU DE DANA,Karaoke Voice Over!
Serge Gainsbourg - 69 année érotique.mp4,Serge Gainsbourg,69 année érotique
Roberta Flack - Killing me softly.mp4,Roberta Flack,Killing me softly
Bonnie Raitt - Thing called love wvocals.mp4,Bonnie Raitt,Thing called love wvocals
Marlene Dietrich - Falling in love again.mp4,Marlene Dietrich,Falling in love again
OFKCAR002-04 - Carpenters - There's a Kind of Hush w~mpex.mkv,Carpenters,There's a Kind of Hush w~mpex
Elsa - A la même heure dans deux ans.mp4,Elsa,A la même heure dans deux ans
Gilbert Bécaud - Nathalie.mp4,Gilbert Bécaud,Nathalie
Bob Hope - Thanks For The Memory.mp4,Bob Hope,Thanks For The Memory
Frank Alamo - Da dou ron ron.mp4,Frank Alamo,Da dou ron ron
Sawt & Atlas - Ne me jugez pas.mp4,Sawt & Atlas,Ne me jugez pas
Hugues Aufray - Adieu Monsieur le Professeur.mp4,Hugues Aufray,Adieu Monsieur le Professeur
Irish - The Black Velvet Band.mp4,Irish,The Black Velvet Band
Luna Parker - Tes états d'âme Eric.mp4,Luna Parker,Tes états d'âme Eric
France Gall - Musique..mp4,France Gall,Musique
Georges Moustaki - Les amis de Georges.mp4,Georges Moustaki,Les amis de Georges
STAR200755-01 - Michael Learns to Rock - Nothing to Lose.mkv,Michael Learns to Rock,Nothing to Lose
Johnny Hallyday - Douce violence.mp4,Johnny Hallyday,Douce violence
Danny Brillant - Quand je vois tes yeux.mp4,Danny Brillant,Quand je vois tes yeux
Jacques Brel - Vesoul.mp4,Jacques Brel,Vesoul
Luis Mariano - Granada.mp4,Luis Mariano,Granada
Stromae - Formidable.mp4,Stromae,Formidable
Starmania - Monopolis [BDFab].avi,Starmania,Monopolis [BDFab]
Frank Sinatra - Luck be a lady.mp4,Frank Sinatra,Luck be a lady
Andrews Sisters - Boogie Woogie Bugle Boy.mp4,Andrews Sisters,Boogie Woogie Bugle Boy
Jackie Wilson - Your Love Keeps Lifting Me Higher.mp4,Jackie Wilson,Your Love Keeps Lifting Me Higher
Hall & Oates - I can't go for that wvocal.mp4,Hall & Oates,I can't go for that wvocal
John Raitt and Bonnie Raitt - Anything you can do I can do better.mp4,John Raitt and Bonnie Raitt,Anything you can do I can do better
Salvatore Adamo - Ne te prends pas pour Cendrillon.mp4,Salvatore Adamo,Ne te prends pas pour Cendrillon
Serge Gainsbourg - Vieille Canaille.mp4,Serge Gainsbourg,Vieille Canaille
Alan Jackson - It's alright to be a redneck.mp4,Alan Jackson,It's alright to be a redneck
Musicals - (The Sound of Music) Climb every mountain.mp4,Musicals,(The Sound of Music) Climb every mountain
Children's - Do The Hokey Pokey.mp4,Children's,Do The Hokey Pokey
Reach Out I ll Be There.mp4,Reach Out I ll Be There.mp4,
Axel Red - Je t'attends.mp4,Axel Red,Je t'attends
Richard Cocciante - Le coup de soleil.mp4,Richard Cocciante,Le coup de soleil
Richard Cocciante - Marguerite.mp4,Richard Cocciante,Marguerite
The Carpenters - Yesterday Once More.mp4,The Carpenters,Yesterday Once More
Paul Anka - Puppy love.mp4,Paul Anka,Puppy love
Barbara - L'aigle noir.mp4,Barbara,L'aigle noir
Gospel - Ave Maria.mp4,Gospel,Ave Maria
Frank Sinatra - Embraceable you.mp4,Frank Sinatra,Embraceable you
Ricky Martin - Shake Your Bon Bon.mp4,Ricky Martin,Shake Your Bon Bon
Teri Moïse - Je serai là.mp4,Teri Moïse,Je serai là
MPV16-03 - Mariah Carey - Never Too Far.mp4,Mariah Carey,Never Too Far
Cat Stevens - Oh very young one.mp4,Cat Stevens,Oh very young one
PMV09-14 - Sonique - It Feels So Good.mp4,Sonique,It Feels So Good
Traditional - We'll Meet Again (With Choir).mp4,Traditional,We'll Meet Again (With Choir)
Prinscilla - Thouk tchouk music.mp4,Prinscilla,Thouk tchouk music
Gospel -  Ave Maria  Bach-Gounod wvocal.mp4,Gospel, Ave Maria  Bach-Gounod wvocal
Philippe Lafontaine - Cœur de loup.mp4,Philippe Lafontaine,Cœur de loup
Véronique Sanson - Chanson sur ma drôle de vie.mp4,Véronique Sanson,Chanson sur ma drôle de vie
Diamond Rio - One More Day.mp4,Diamond Rio,One More Day
George Michael - I want your sex.mp4,George Michael,I want your sex
Luis Mariano - Quand on est deux amis.mp4,Luis Mariano,Quand on est deux amis
Thelma Houston - Don't Leave Me This Way.mp4,Thelma Houston,Don't Leave Me This Way
Elvis Presley - Suspicious minds.mp4,Elvis Presley,Suspicious minds
Alicia Bridges - I love the nightlife.mp4,Alicia Bridges,I love the nightlife
M Pokora - A nos actes manqués.mp4,M Pokora,A nos actes manqués
Irish - (paddy oke) Maggie.mp4,Irish,(paddy oke) Maggie
Illona Mitrecey - Noël que du bonheur.mp4,Illona Mitrecey,Noël que du bonheur
Gospel - In the sweet by and by wvocals.mp4,Gospel,In the sweet by and by wvocals
Elvis Presley - Welcome to my world.mp4,Elvis Presley,Welcome to my world
Les Infidèles - Les larmes des maux.mp4,Les Infidèles,Les larmes des maux
Renaud - Anaïs Nin (avec Romane Serda).mp4,Renaud,Anaïs Nin (avec Romane Serda)
Louis Armstrong - Hello dolly.mp4,Louis Armstrong,Hello dolly
Julien Clerc - Fille du feu.mp4,Julien Clerc,Fille du feu
